id,summary,clean_skills
larce-blake-539917155,"As a Statistics/Mathematics Major from the University of Texas-Dallas, I have developed a deep appreciation for the power of data analytics to inform decision-making and solve complex problems. I am proficient in SQL, Python, Tableau, and SAS. Alongside my academic pursuits, I am also a Music Producer/DJ with production credits with clients signed with Def Jam, Roc Nation, Sony, UMG, and many more. In addition, I am passionate about giving back to my community through philanthropic endeavors. Whether it's through analyzing data or contributing to a good cause, I am committed to using my skills and interests to make a positive impact in the world.
certifications: 
courses: ","['Statistics/Mathematics Major, University of Texas-Dallas', 'Music Producer/DJ', 'SQL', 'Python', 'Tableau', 'SAS', 'Philanthropic endeavors']"
kayla-thomas-77119a220,"I'm a TCU Biology and Child Development Double Degree Graduate, pursuing admission into medical school. As a double degree student I am particularly interested in the biological sciences as they relate to child and adolescent development.
certifications: NHA's ExCPT Certified Pharmacy Technician (CPHt), 
courses: ","['TCU Biology and Child Development Double Degree Graduate', 'Pursuing admission into medical school', ""NHA's ExCPT Certified Pharmacy Technician (CPHt)""]"
cameron-lafrancis-ream-68a7bb10b,"MBA graduate with history of success in school and work. Outdoorsy, nature loving guy who can grind out the workday, then decompress with the trees.
certifications: 
courses: ","['MBA', 'Outdoorsy/nature enthusiast', 'Dedicated/hardworking', 'None certifications listed', 'None courses listed']"
taylor-knese-msn-fnp-c-a6413b113,"Family Nurse Practitioner currently practicing in Southern Colorado.
certifications: NRP, ACLS, BLS, Registered Nurse, STABLE, 
courses: ","['Family Nurse Practitioner', 'NRP, ACLS, BLS, Registered Nurse, STABLE']"
carla-holland-b5866557,"Strong financial operations professional with a Bachelor of Arts (B.A.) focused in Religion on a Pre-Law Track as well as Associates Degree in Business Administration from Campbell University.
certifications: Certified Departmental Purchasing Representative, Business Process Improvement, Excel for Accountants, Excel: Creating Business Budgets, Excel: Tracking Data Easily and Efficiently, Financial Accounting Foundations, Learning Excel Online (Office 365), Project Management Foundations: Budgets, Access Basics for Excel Users, Accounting Foundations: Bookkeeping, Audit and Due Diligence Foundations, Excel Power Query Tips and Techniques (Office 365), Excel: Introduction to Formatting, Google Forms Essential Training, Google Hangouts Essential Training, Google Meet Essential Training, Google Sheets: Advanced Formulas and Functions, HR as a Business Partner, Learn Emotional Intelligence, the Key Determiner of Success, SAP S/4 HANA Financial Accounting Overview, Writing Formal Business Letters and Emails, Accounting for Managers, Business Ethics, Corporate Finance Foundations, Excel: Power Pivot for Beginners, Financial Accounting Part 1, Grant Writing for Education, Improving Your Judgment for Better Decision-Making, Nonprofit Management Foundations, Strategic Thinking, Notary Public, 
courses: ","['5+ Years of Experience', 'SAP S/4 HANA', 'Microsoft Excel', 'Google Forms', 'Google Hangouts', 'Google Meet', 'Google Sheets']"
yvette-hoyes-aba60786,"I love my new career. Prime Pay is an awesome place to work!
certifications: 
courses: ",[]
jasonshoaf,"Experienced network architect with 20-year track record in various technical and leadership roles. Broad technical background with heavy exposure to Cisco networking, load-balancing, and security technologies in all phases of the PPDIOO lifecycle. Seasoned leader in infrastructure improvement initiatives, process and standards development, technology evaluation and management of large, complex information technology projects. Specialties: Infrastructure Architecture • Operations Management • Problem Solving • Project Planning and Management • Leading and Motivating Teams • Staff Development • Technical Training and Mentoring • Network Security
certifications: Programming for Everybody (Python), Cisco Certified Network Associate (CCNA), 
courses: Creating Splunk Knowledge Objects, Infoblox Core DDI Basic Configuration, Infoblox Core DDI Intermediate Configuration, Searching and Reporting with Splunk, ","['20 years experience', 'Network architect', 'Leadership roles', 'Cisco networking', 'Load-balancing', 'Security technologies', 'Infrastructure improvement initiatives', 'Process and standards development', 'Technology evaluation', 'Management of large, complex information technology projects', 'Infrastructure Architecture', 'Operations Management', 'Problem Solving', 'Project Planning and Management', 'Leading and Motivating Teams', 'Staff Development', 'Technical Training and Mentoring', 'Network Security', 'Programming for Everybody (Python)', 'Cisco Certified Network Associate (CCNA)', 'Creating Splunk Knowledge Objects', 'Infoblox Core DDI Basic Configuration', 'Infoblox Core DDI Intermediate Configuration', 'Searching and Reporting with Splunk']"
shivalika-s-15602721a,"Solution-Oriented and Innovation Driven Business Analyst with 8+ years of Professional IT experience in all phases of SDLC. Well-versed in bringing clarity to complex situations in any challenging environment with a diverse skill set in managing, designing and implementing integrated Business Systems, translating business processes into requirements and system solutions utilizing Waterfall and Agile methodologies
certifications: 
courses: ","['8+ years of experience', 'Business Analyst', 'Solution-Oriented', 'Innovation Driven', 'SDLC', 'Waterfall and Agile', 'Integrated Business Systems', 'Managing, designing and implementing', 'Translating business processes into requirements and system solutions']"
johnny-espinal-2b1132124,"I have been in the healthcare Industry for well over 13 years. I have experience in Sales, Grassroots Marketing, Market Segmentation, Event Coordination, Account Management, HEDIS Systems and much more. I have found a home in Medicare Sales and have decided to pursue this field and ultimately work in a corporate setting where my ideas in marketing and business advancements can be utilized. I am currently working in UnitedHealthcare as a Medicare Sales Manager. My goal is to assist in the expansion and growth efforts in Nassau and Suffolk Counties. I look forward to be able to help new agents reach their goals and become leaders in the industry
certifications: 
courses: ","['13+ years in Healthcare Industry', 'Medicare Sales Manager at UnitedHealthcare', 'Nassau and Suffolk Counties expansion and growth', 'Sales, Grassroots Marketing, Market Segmentation, Event Coordination', 'Account Management, HEDIS Systems']"
baker-watts-a5200195,"-Driven and organized sales professional who exceeds company sales goals, develops new accounts, and achieves high customer satisfaction ratings
certifications: Certified Mortgage Banker (CMS), 
courses: ",['Certified Mortgage Banker (CMS)']
annawachtel,"• A detail oriented strategic leader with a wide range of technical skills obtained over 20 years, including Tableau, SQL, Cognos, CACS, Genesys Dialer, IBM iSeries, Electronic Health Records, and others. • Proven ability to lead implementations and deliver technical solutions to operational issues which improve workplace productivity and efficiency. • Driven to transform business problems into defining appropriate solutions to improve operations, support corporate strategy, and drive business growth by bridging the gap between business and technology. • Experienced at gathering, analyzing, and defining business and functional requirements; improving business processes, data workflows, data collection, and technology solutions as well as the ability to transform data into reports that informs decision making.
certifications: MCPS: Microsoft Certified Professional, CompTIA Network+, CompTIA A+, 
courses: ","['20+ years experience', 'Tableau, SQL, Cognos, CACS, Genesys Dialer, IBM iSeries, Electronic Health Records', 'Strategic Leadership', 'Technical Solutions Delivery', 'Business Analysis', 'Data and Workflow Management', 'Report Generation', 'Decision-Making Support', 'MCPS', 'CompTIA Network+', 'CompTIA A+']"
riley-cooper-a92553119,"Since the late 1800s, Hancock Whitney has embodied core values of Honor & Integrity, Strength & Stability, Commitment to Service, Teamwork, and Personal Responsibility. Hancock Whitney offices and financial centers in Mississippi, Alabama, Florida, Louisiana, and Texas offer comprehensive financial products and services, including traditional and online banking; commercial and small business banking; private banking; trust and investment services; healthcare banking; certain insurance services; and mortgage services. The company also operates a loan production office in Nashville, Tennessee. BauerFinancial, Inc., the nation’s leading independent bank rating and analysis firm, consistently recommends Hancock Whitney as one of America’s most financially sound banks. More information is available at www.hancockwhitney.com.
certifications: 
courses: ","['Honor & Integrity, Strength & Stability, Commitment to Service, Teamwork, Personal Responsibility', 'Comprehensive financial products and services, traditional/online banking, commercial/small business banking, private banking, trust and investment services, healthcare banking, certain insurance services, mortgage services', 'Offices in Mississippi, Alabama, Florida, Louisiana, and Texas, loan production office in Nashville, Tennessee', 'BauerFinancial, Inc., consistently recommends Hancock Whitney as one of America’s most financially sound banks']"
saili-vidwans-833a7280,"I am a hospitality professional with expertise in forging meaningful and lasting relationships with customers. My diverse career experience has helped me develop a client-first attitude and provide exemplary customer service to key stakeholders across any organization.
certifications: Performing under Pressure, Executive Decision-Making, 
courses: ","['Hospitality professional', 'Performing under Pressure', 'Executive Decision-Making']"
griffen-rush-mba-31baa397,"Environmental Services professional with proven Management skills and hands-on experience in maintenance and operations of healthcare facilities and services. Possess solid leadership skills, extensive knowledge in building positive employee and customer relationships through effective communication, teamwork and a shared vision to maximize productivity for an organization.
certifications: 
courses: ","['Environmental Services professional', 'Management skills', 'Healthcare facilities and services maintenance and operations', 'Building positive employee and customer relationships', 'Effective communication, teamwork, and shared vision', 'Maximizing organizational productivity']"
mohamed-el-rhoufi-703393120,"Experienced Biomedical Equipment Technician with a demonstrated history of working in the facilities services industry. Skilled in Medical Devices, Maintenance & Repair, Hospitals, Biomedical Engineering, and Hardware Diagnostics. Strong engineering professional with a Associate's degree focused in Biomedical/Medical Engineering from Benjamin Franklin Institute of Technology. certified and trained on Draeger anesthesia machine
certifications: Nanosonics Trophon certified, Draegr Fabius GS/ premium and tiro anesthesia machie trained, 
courses: ","['Biomedical Equipment Technician', '2 years of experience', 'Facilities services industry', 'Medical Devices', 'Maintenance & Repair', 'Hospitals', 'Biomedical Engineering', 'Hardware Diagnostics', ""Associate's degree in Biomedical/Medical Engineering"", 'Draeger anesthesia machine certified', 'Nanosonics Trophon certified', 'Draegr Fabius GS/ premium and tiro anesthesia machine trained']"
dajawalters,"I'm an Experienced Operations Manager with a background in the healthcare and pharmaceutical industries. I'm currently in Patient Experience Management with recent Facilities Management experience and had grown tremendously within that field. I'm knowledgeable in many areas and skill settings which include, but are not limited to, People Leadership, Program/Process Management, Customer Service, Strategic Planning as well as Process Mapping/Improvement. I'm a strong Operations professional with proven and sustained outcomes.
certifications: How to Use Rejection to Your Advantage, Leading and Motivating People with Different Personalities, Risk-Taking for Leaders, Notary Public Commission, 
courses: ","['Health care and pharmaceutical industries experience', '3+ years as a Patient Experience Manager', 'Facilities Management experience', 'People Leadership, Program/Process Management, Customer Service, Strategic Planning, Process Mapping/Improvement skills', 'Risk-Taking for Leaders, Notary Public Commission certifications']"
daniel-fischer-42141267,"I received my PharmD from Oregon State University in June 2015. I completed my PGY-1 pharmacy residency at Intermountain Medical Center in Murray, Utah. I completed my PGY-2 pharmacy resident in emergency medicine at the University of Colorado hospital in Aurora, CO. I am currently the clinical pharmacy specialist in emergency medicine at Holy Cross Hospital in Chicago As part of my residency I staffed the 72 bed emergency department seeing over 300 patients per day. In addition to staffing I was heavily involved in teaching pharmacy, medical, and PA students through lectures and rotational activities as well as clinical research. At Holy Cross I have continued to be involved in education, providing didactic and clinical education to ED staff, pharmacists, and residents while also working to create and update hospital policies to be in line with evidence based recommendations. My interests within emergency medicine include toxicology, anticoagulation reversal, and ACLS
certifications: Safeway Pharmacy/OSU Pharmacy-Based Immunization Delivery Certification, ACLS, Utah state pharmacy license, Colorado pharmacist license, Oregon State Pharmacy Intern License, American Heart Association First Aid, CPR, and AED-Adult Certified, 
courses: ","[""7 years' experience"", 'Safeway Pharmacy/OSU Pharmacy', 'PGY-1 pharmacy resident', 'PGY-2 pharmacy resident', 'Utah state pharmacy license', 'Colorado pharmacist license', 'Oregon State Pharmacy Intern License', 'Safeway Pharmacy/OSU Pharmacy-Based Immunization Delivery Certification', 'American Heart Association First Aid, CPR, and AED-Adult Certified']"
zhi-yue-1b6b1255,"Experienced in exploring biomedical unknowns and expanding opportunities for drug discovery using multiscale modeling.
certifications: 
courses: ",['Exploring biomedical unknowns and expanding opportunities for drug discovery using multiscale modeling']
caitlyn-corlett-duchanin-9b0529129,"By combining my passion for helping others and problem solving, recruiting is everything I love! After a 5 year career in Applied Behavior Analysis, I am taking my skills to a whole new level through the role of Recruitment Coordinator. At Quest Talent Solutions, we are Culture Focused and Talent Driven! We strive to assist companies in finding the perfect addition to their team—both talent-wise and culturally. For any recruiting needs, please reach out at any time! Caitlyn.corlett@questtalentsolutions.com
certifications: Registered Behavior Technician (RBT), 
courses: ","['5 years of experience in Applied Behavior Analysis', 'Recruitment Coordinator at Quest Talent Solutions', 'Certified Registered Behavior Technician (RBT)']"
marc-wahab-a69154249,"I am a sophomore majoring in Environmental Sciences and Economics at the University of Chicago. I'm interested in green technology, ESG, and environmental consulting. Currently open to part-time research positions in: - meteorology/climatology/atmospheric science - ecology and conservation - environmental/climate policy - environmental law
certifications: 
courses: ","['Environmental Sciences and Economics at the University of Chicago', 'Green technology, ESG, environmental consulting', 'Meteorology/climatology/atmospheric science, ecology and conservation, environmental/climate policy, environmental law']"
mehulsheth,"I’m a physician leader whose professional mission is to help optimize patient outcomes. To that end I have experience and expertise in a wide variety of clinical practice; understanding of data and analytics in context of those clinical workflows; technological tools to reduce cognitive burden including machine and deep learning; change management and choice architecture to implement desired changes; and using these tools to direct quality improvement toward total population health. My ultimate goal is to help achieve baseline patient outcomes regardless of insurance coverage, socioeconomic status, education, ethnicity, culture or geographic considerations.
certifications: Certified Professional in Healthcare Quality (CPHQ), Lean Six Sigma Green Belt, Certified Professional in Healthcare Information and Management Systems (CPHIMS), Fellow of the American College of Healthcare Executives (FACHE), Fellow of the American Medical Informatics Association, Cerner Physician Architect, Board Certified, Health Care and Quality Management-Physician Advisor (CHCQM-PA), Board Certified in Pediatrics, Board Certified in Clinical Informatics, Certified in Medical Quality, AMIA Certified Health Informatics Professional (ACHIP), Certified Healthcare Financial Professional (CHFP), Certified Professional in Patient Safety, Basic Certificate in Quality and Safety, Project Management Professional (PMP), Lean Six Sigma Yellow Belt Certification, AI for Everyone, Beginner Options, Futures and Implied Volatility, Blockchain Revolution, Blockchain Specialization, Lean Six Sigma White Belt Certification, Certified Blockchain Professional, Physician Leadership Program, 
courses: ","['AMIA Certified Health Informatics Professional (ACHIP)', 'Basic Certificate in Quality and Safety', 'Board Certified, Health Care and Quality Management-Physician Advisor (CHCQM-PA)', 'Board Certified in Clinical Informatics', 'Board Certified in Pediatrics', 'Certified Blockchain Professional', 'Certified Healthcare Financial Professional (CHFP)', 'Certified Medical Quality', 'Certified Professional in Healthcare Information and Management Systems (CPHIMS)', 'Certified Professional in Healthcare Quality (CPHQ)', 'Certified Professional in Patient Safety', 'Cerner Physician Architect', 'Fellow of the American College of Healthcare Executives (FACHE)', 'Fellow of the American Medical Informatics Association', 'Lean Six Sigma Green Belt', 'Lean Six Sigma White Belt Certification', 'Lean Six Sigma Yellow Belt Certification', 'Project Management Professional (PMP)', 'AI for Everyone, Beginner Options, Futures and Implied Volatility', 'Blockchain Revolution', 'Blockchain Specialization', 'Physician Leadership Program']"
mitchell-goodknecht-6a9285138,"Dedicated and passionate Zoologist with a broad array of professional experience in zoological husbandry, outreach, and leadership. Particular interest in the conservation, education, and welfare of both common and threatened species worldwide. Nature has been my lifelong passion, and it is my personal responsibility to both serve & protect wildlife through all outlets possible. To instill a love for nature in others as I have been inspired.
certifications: Dino 101: Dinosaur Paleobiology, Paleontology: Theropod Dinosaurs and the Origin of Birds, 
courses: ","['7+ years experience', 'Zoological husbandry', 'Outreach', 'Leadership', 'Conservation', 'Education']"
eirinaios-gkika-b4bb631b8,"As a Research Analyst at University of Chicago I collaborate with a multidisciplinary team of scientists to design and execute experiments, analyze data, and interpret results. With my strong background in immunology and cancer immunotherapy my goal is not only to contribute to groundbreaking discoveries but also to continuously grow as a scientist by learning from the best scientists in multiple fields.
certifications: Advanced cancer biology, 
courses: ","['Research Analyst, University of Chicago', 'Collaborated on experiments, analyzed data, interpreted results within a multidisciplinary team of scientists', 'Goal-oriented', 'Continuous learner', 'Interest in immunology and cancer immunotherapy']"
yaswanth-maddipati,"Hello, I am currently doing my Masters in Data Science at the University of North Texas. I worked as a Programmer Analyst Trainee at Cognizant for almost a year of professional work experience where. I was primarily responsible for Documentum Application analysis and resolving issues based on end-user queries. Having a strong passion for Data Science, I am looking forward to pursuing my career in the field of data science and analytics. TECHNICAL SKILLS: Programming: Python, C, C++ Databases: MySQl Visualization Tools: MS Excel, Tableau, MS PowerPoint Tools & Technologies: Jupiter Notebook Thanks for choosing my profile Please contact me via LinkedIn or email at: myaswanth2342@gmail.com
certifications: Introduction to Python, 
courses: ","['Masters in Data Science, University of North Texas', 'Programmer Analyst Trainee, Cognizant (1 year)', 'Documentum Application analysis and issue resolution', 'Python, C, C++, MySQL, MS Excel, Tableau, MS PowerPoint, Jupyter Notebook']"
tolga-koyak-68018331,"With over seven years of experience in the IT security field, I am currently a Security Administrator at Pasadena City College, where I advise our organization on security best practices, analyze and prevent security threats, and implement and integrate network security solutions. I hold a CCNA certification and a certificate in IT security from UCLA Extension, and I am pursuing a master's degree in computer science at Loyola Marymount University. My core competencies include risk assessment, security risk, problem solving, and incident management response. I am passionate about protecting the data and privacy of students, faculty, and staff, and enhancing the security posture of the college. I enjoy working with a diverse and collaborative team of IT professionals, and I am always eager to learn new skills and technologies.
certifications: Incident Management Response: Cloud Security - What Leaders Need to Know, CCNA, 
courses: ","['7 years of experience', 'Security Administrator, Pasadena City College', 'CCNA certification', 'UCLA Extension certificate in IT security', ""Master's degree in computer science (in progress)"", 'Risk assessment', 'Security risk', 'Problem-solving', 'Incident management response', 'Data and privacy protection', 'Teamwork', 'Eager to learn']"
bahardorri,"Bahar is a university lecturer in the areas of computer science and digital media. She is a full time lecturer at the computer science & engineering (CSE) department, University of North Texas (UNT) and an adjunct faculty at the Digital Media department, Southern New Hampshire University (SNHU). Her interests are: UI/UX, Graphic Design, and Computer Programming.
certifications: Ensuring Engagement in the Online Environment, Introduction to Programming Using HTML and CSS, Online Faculty Training & Assessment, Adobe InDesign assessment, Certificate IV in Graphic Design, 
courses: ","['Lecturer, Computer Science & Engineering, University of North Texas (UNT)', 'Adjunct faculty, Digital Media, Southern New Hampshire University (SNHU)', 'Lecturer', 'Adjunct faculty', 'Adobe InDesign', 'UI/UX', 'Graphic Design', 'Computer Programming']"
gracyschulte,"I am an aspiring materials scientist/engineer who enjoys connecting the dots: be it fundamental concepts across the sciences, relationships between experimental qualitative and quantitative data, or integrating past and present ideas to create new prospective theories. My passion lies in the overlap of scientific branches; I've learned that using bits and pieces from each discipline to solve complexities is not only fascinating, but it is crucial in order to create more accessible, sustainable, and efficient technologies. In my undergraduate studies, I’ve taken on various leadership roles, including being elected a College of Science Senator for the UNT Student Government Association, taking initiative to serve my community by volunteering at university events, and coordinating a week-long clothing drive to benefit Trans/Queer students on campus. My expected graduation date is May 2025 and I'm interested in full-time materials science and/or engineering roles. Feel free to send me a message! Proficient: ​ Presentation of Qualitative and Quantitative Data, Computer Skills, Safe Handling of Stable Chemical Compounds Knowledgeable: ​Organic Chemistry Foundations and Applications, Technical and Analytical Problem Solving Familiar: ​Individual Research
certifications: 
courses: Anatomy and Physiology, Calculus 1 & 2, Chemistry 1 & 2, Organic Chemistry, Physics, Technical Writing, ","['0 years of experience', 'College of Science Senator', 'UNT Student Government Association', 'Presentation of Qualitative and Quantitative Data', 'Computer Skills', 'Safe Handling of Stable Chemical Compounds', 'Organic Chemistry Foundations and Applications', 'Technical and Analytical Problem Solving', 'Individual Research', 'Anatomy and Physiology', 'Calculus 1 & 2', 'Chemistry 1 & 2', 'Organic Chemistry', 'Physics', 'Technical Writing']"
janahawleyphd,"Jana M. Hawley, Ph.D., is Professor and Dean of the College of Merchandising, Hospitality, and Tourism (CMHT) at the University of North Texas. CHMT offers innovative programs in consumer experience, digital retailing, hospitality, fashion, merchandising, and tourism. We are the home of the first ever, ACPHA-accredited Hospitality program, the first Digital Retailing B.S., and the nation's largest merchandising program. Our graduates are prepared to lead the future of the global experience economy. Hawley has a doctorate in human environmental sciences with an emphasis in textile and apparel management from the University of Missouri. She has been Director of the Norton School of Family and Consumer Sciences at University of Arizona, Dept. Head at Mizzou and Kansas State and previously held faculty positions at Indiana University and University of North Texas. Her areas of expertise include sustainability, textile recycling, global initiatives, folk art to global marketplace, and educational leadership. Hawley has worked as a Fulbright Scholar in India, where she studied traditional textile arts and their economic impact for rural communities – particularly for women. She continues to research textile arts in India, Guatemala, Uzbekistan, and Peru. In addition, Hawley is the author or co-author of more than 100 publications and conference proceedings. She has worked closely with members of the retailing industry, including Container Store, JC Penney, Macy's, Pet Smart, SAP, Wal-Mart, Dillard's, Bass Pro, Target, Kohl's and many others.
certifications: 
courses: ","['Director, Norton School of Family and Consumer Sciences, University of Arizona', 'Department Head, Mizzou and Kansas State', 'Faculty, Indiana University, University of North Texas', 'Fulbright Scholar, India', 'The Container Store', 'JC Penney', ""Macy's"", 'Pet Smart', 'SAP', 'Wal-Mart', ""Dillard's"", 'Bass Pro', 'Target', ""Kohl's"", 'Author/co-author, 100+ publications and conference proceedings']"
mary-k-atkins,"Extensive experience in higher education administration - human resources, benefit plan administration, executive support, team management, service provision across multiple locations to large groups, customer-centric service, program administration, tech support, communications, business travel management, event planning and coordination for conferences, project teams, leadership retreats, receptions, trainings. Training development and delivery. Web content development and maintenance (Drupal, Omni, Wordpress).
certifications: 
courses: ","['Human Resources', 'Benefit Plan Administration', 'Executive Support', 'Team Management', 'Service Provision', 'Program Administration', 'Tech Support', 'Communications', 'Business Travel Management', 'Event Planning and Coordination', 'Training Development and Delivery', 'Drupal', 'Omni', 'Wordpress']"
