meta_industry,col,count
Education and Training,Change management,2
Media and Entertainment,Mergers and acquisitions,1
Government and Public Policy,Leadership,4
Manufacturing,Team management,1
Manufacturing,"Managed risk upon multiple lines to protect assets, property, and equipment valued over $90M",1
Manufacturing,Procurement,3
Technology,Client relations,3
Education and Training,MFA in poetry,1
Education and Training,75M$ in successful proposals development,1
Education and Training,"""Bachelor's degree in Labor and Employment Relations"", ""Bachelor's degree in Recreation, Park and Tourism Management"", 'Manager, Auxiliary Business Services Department (PSU)",1
Education and Training,Lifeguard Management,1
Education and Training,"Linux, Bash, Python, Compiler, TensorFlow, R",1
Education and Training,"Founding member, UMass Amherst",1
Education and Training,"Volunteer Football Coach, Pleasant Valley High School",1
Education and Training,"Senior researcher in ESS Engineering Software Steyr G.m.b.H at Steyr, Austria.",1
Education and Training,Web-Based Applications,1
Retail and Consumer Goods,Cutting meat (18 years old),1
Services,Look for opportunities to pursue passions,1
Services,"Aptitude in benefits and compensation, strategic planning, project management, and client/vendor relations",1
Real Estate and Construction,"Architect, Project Manager, Associate, Subcontractor",1
Services,"Led successful document review projects for global banks, industry leaders, and law firms",1
Services,"Certified in Brainspace, Relativity, and as an Attorney in Florida",1
Technology,Dual BS in Mechanical Engineering / Engineering and Public Policy from Carnegie Mellon University,1
Transportation and Logistics,What-if scenarios and impact analysis,1
Media and Entertainment,Delivering bad news effectively,1
Education and Training,Program Manager,2
Education and Training,Business management,1
Services,CNA,1
Services,Microsoft Power Apps,1
Services,Revenue Cycle Initiatives,1
Services,Horticulture,1
Education and Training,Certified,1
Education and Training,Interdisciplinary Research,1
Services,Employee engagement,1
Services,Print & Digital Publishing,1
Retail and Consumer Goods,Art,1
Transportation and Logistics,Change Management Foundations,1
Healthcare and Medical,Innovation,1
Media and Entertainment,Google Drive,2
Media and Entertainment,Loan IQ,1
Education and Training,Social and Behavioral Responsible Conduct of Research,1
Education and Training,Unconscious bias awareness,1
Education and Training,Social Media Strategy certified,1
Services,Project Management Professional (PMP),4
Services,Experience in each step of SDLC,1
Services,M.A. in Public Policy and Nonprofit Management (Johns Hopkins University),1
Services,VITA/TCE Cerification,1
Services,Lean Six Sigma Yellow Belt (ICYB),1
Services,Indoor Cycling Classic Certification,1
Manufacturing,Product Engineer in the semiconductor industry,1
Manufacturing,Recipient of multiple awards for outstanding performance and professionalism,1
Retail and Consumer Goods,Manufacturing,1
Technology,ADP,2
Education and Training,Creating Your Personal Brand,1
Education and Training,Strategizing changes based on user engagement and revenue generation,1
Education and Training,"Undergraduate Geosciences student, The Pennsylvania State University",1
Education and Training,Computational Ecohydrology,1
Services,Doctor of Education,1
Services,"VMware, VirtualBox",1
Transportation and Logistics,Deputy General Manager,1
Transportation and Logistics,5+ years of experience in organizational development,1
Healthcare and Medical,"Alternative Energy (Hydrogen, Solar, Wind)",1
Services,"Music, teamwork, teaching, recording, editing",1
Services,Registered Dietitian,1
Retail and Consumer Goods,Focus on cybercrime investigation,1
Education and Training,Analyst,2
Education and Training,10 years experience,2
Education and Training,Biomedical and Health Science Researchers certification,1
Manufacturing,Non-linear optics,1
Manufacturing,Budgeting,3
Retail and Consumer Goods,Patent Process,1
Retail and Consumer Goods,Public Safety & Security,1
Retail and Consumer Goods,Payroll/position elimination activities,1
Technology,HIPAA Associate (HIPAAA) certification,1
Healthcare and Medical,Extensive NICU specialization,1
Education and Training,"Ecology, evolutionary biology, genomics and public understanding of science",1
Education and Training,Algorithms Analysis and Design,1
Education and Training,Intermediate Application Development,1
Services,Salesforce Nonprofit Cloud Consultant,1
Healthcare and Medical,Billing,1
Transportation and Logistics,"Social Media Manager, Amtrak (Twitter & Facebook)",1
Transportation and Logistics,Committed to professional development,1
Media and Entertainment,Other purchasing processes,1
Education and Training,Analytical Skills,1
Education and Training,Warfare,1
Services,Strategic Communications,1
Services,Senior operations manager and consultant,1
Manufacturing,Analytical skills,2
Retail and Consumer Goods,Carpenter,1
Retail and Consumer Goods,Staff Training & Mentoring,1
Technology,Fraternity Rush and Social Media chair,1
Education and Training,Editing,7
Education and Training,Operations research,1
Education and Training,Social Media Interaction,1
Education and Training,Physical Chemistry,1
Education and Training,5 years of experience,5
Education and Training,Windows Servers,1
Education and Training,Atlassian suite,1
Manufacturing,Team Top Gun Coaching Program certification,1
Transportation and Logistics,Threat management strategies,1
Healthcare and Medical,Senior Statistical Research Specialist at Palo Alto College,1
Retail and Consumer Goods,Peer education,1
Services,SIX SIGMA GREEN BELT CERTIFICATION,1
Services,"RPA Developer (UiARD), 2 years",1
Services,Risk-based Monitoring of Clinical Trials,1
Manufacturing,Software library/application development for reflectometry/ellipsometry,1
Manufacturing,Innovation,2
Manufacturing,20 years of experience,2
Retail and Consumer Goods,Manager,1
Technology,Aon,1
Education and Training,"Evolutionary genetics, developmental mechanisms underlying mimetic color variation in bumble bees",1
Education and Training,Phlebotomy,1
Education and Training,Aspiring software engineer,1
Education and Training,BA in Veterinary and Biomedical Science,1
Education and Training,3 years data analytics research,1
Services,Expert on unconscious bias,1
Financial and Investment,Deployed financial instruments and financing solutions for optimal capital structure for businesses,1
Services,Salesforce Community Cloud Consultant,1
Transportation and Logistics,WestLaw,1
Education and Training,Basic Life Support for Healthcare and Public Safety (BLS),1
Services,Government administration industry,1
Services,BA with Distinction in Political Science and Environment,1
Manufacturing,Project Scheduling and Engineering Management,1
Technology,Hewitt,1
Education and Training,IELTS Academic Overall Band 7.5,1
Education and Training,Psychology,2
Education and Training,Nonprofit Essentials,1
Education and Training,"Minor in Hospitality Management, Penn State University Park",1
Services,"Innovative problem solver, created a database for appliance repair workflow",1
Retail and Consumer Goods,Pricing Coordinator,1
Healthcare and Medical,Strategic partnership development (years of experience not specified),1
Healthcare and Medical,Ethical Leadership Certification,1
Services,Email Marketing,1
Services,Building cross-functional teams,1
Technology,Market research,1
Education and Training,Business Intelligence Analyst,1
Manufacturing,ANSYS,1
Retail and Consumer Goods,15+ years of retail consumer products industry experience,1
Retail and Consumer Goods,Life Mortgage,1
Retail and Consumer Goods,Other stuff,1
Technology,SFTP,1
Technology,Alight,1
Healthcare and Medical,Operations Management,2
Healthcare and Medical,Director ,1
Education and Training,B2B and B2C marketing,1
Education and Training,Splunk,1
Education and Training,Biogeography and Global Ecology,1
Education and Training,Produced Water Treatment and Reuse - A Global Perspective,1
Education and Training,Experience in qualitative and quantitative research,1
Technology,"Collections, Multithreading, MVC, MVP, MVVM, Builder, Observer, Singleton",1
Retail and Consumer Goods,"Change Leadership, Critical Thinking, and Executive Leadership certifications",1
Retail and Consumer Goods,Growing sales to 25% above company store averages,1
Transportation and Logistics,Ability to work on multiple projects in different business/technology areas at any given time with well under deadlines ,1
Services,"Organization, time management",2
Services,Video content production,1
Services,Marketing,8
Media and Entertainment,Oracle Inventory,1
Media and Entertainment,Oracle Cost Management,1
Media and Entertainment,IMPACT ICI,1
Education and Training,Biopharmaceuticals,1
Education and Training,ACT NCRC-Gold certification,1
Education and Training,"Angular 2+', ""Bachelor's Degree in Spanish Language and Literature""",1
Services,Visual Thinking,1
Retail and Consumer Goods,"Focused, detail-oriented, accurate, organized",1
Technology,Workday Absence Certification,1
Technology,Training,6
Technology,Health and Life Insurance 215 License,1
Education and Training,ENVI,1
Education and Training,"Microsoft, MATLAB', ""Master's in Communication from University of Kentucky"", ""Bachelor's degree"", 'External IRB Review",1
Education and Training,Inorganic Chemistry,1
Education and Training,Productivity Tools,1
Education and Training,Telecommunication,1
Retail and Consumer Goods,15+ years experience,1
Retail and Consumer Goods,Operations and administration management,1
Transportation and Logistics,Assistant Division Engineer Communications and Signals,1
Transportation and Logistics,English and Spanish fluency,1
Healthcare and Medical,Advanced professional proficiency in Spanish & German,1
Education and Training,Doctoral dissertation in metacognition,1
Education and Training,Applicant Tracking System (ATS),1
Education and Training,SharePoint,1
Services,Recommending solutions to improve capital investments,1
Services,Tableau dashboards,1
Services,Communications,1
Retail and Consumer Goods,Innovation,2
Retail and Consumer Goods,Sales acquisition,1
Technology,PDLC,1
Healthcare and Medical,Environmental Services professional,1
Education and Training,"Measured heat transfer coefficients on rotating disk (Undergraduate Capstone Project)', ""Professor's Award for undergraduate capstone project""",1
Education and Training,Experimental Chemistry I,1
Education and Training,"Data collection, management",1
Manufacturing,Google G-Suite,1
Retail and Consumer Goods,"Bloomberg', ""Bachelor's degree in economics"", 'Bloomberg Market Concepts",1
Retail and Consumer Goods,"Extensive retail operations experience in sales management, branding, visuals, loss prevention, and recruiting",1
Miscellaneous,10+ years of experience in Human Resources,1
Media and Entertainment,5+ years Quality Assurance Management experience,1
Education and Training,Effective listening,1
Retail and Consumer Goods,Organization,2
Retail and Consumer Goods,Course Materials Overseer at UTC Bookstore,1
Services,Project management,6
Services,Proposal development,1
Services,Guidehouse,1
Services,"Data analytics, automation, visualization",1
Manufacturing,Systematic thinking,1
Manufacturing,Adobe Photoshop,2
Manufacturing,"Instrumentation development, implementation and commissioning",1
Technology,National launches,1
Healthcare and Medical,10+ Years of Experience,1
Healthcare and Medical,Maintenance & Repair,1
Education and Training,Biomolecular transduction and transport,1
Education and Training,Microsoft Access,2
Education and Training,Edited a blog on GitHub (www.futuredumyCq.tech),1
Education and Training,Solid Mechanics,1
Education and Training,10 years Research Experience,1
Education and Training,Management (people and projects),1
Services,Critical Thinking,2
Transportation and Logistics,"Create and review project deliverables, artifacts and, various report",1
Services,"Personal diligence, innovation",1
Services,10+ Years of Experience,1
Education and Training,On-the-Fly Decision Making,1
Education and Training,HDI Desktop Support Technician,1
Services,Lean Six Sigma Yellow Belt Certification,1
Services,Develop business models,1
Services,Arboriculture,1
Retail and Consumer Goods,"Human Resource, Training, and Development",1
Retail and Consumer Goods,Problem-solver with positive attitude in adversity,1
Healthcare and Medical,Continuous Improvement,2
Education and Training,Multimodal image processing focus,1
Education and Training,Presented research at 2023 American Chemical Society Conference,1
Education and Training,drawing,1
Education and Training,Standard First Aid cert,1
Services,Science topics for kids,1
Services,"Experience in 12+ school districts, After-school programs, and Community centers",1
Retail and Consumer Goods,"Efficient, curious, and forward-thinking",1
Retail and Consumer Goods,"Store Manager, Store Co-Manager",1
Retail and Consumer Goods,"""Men's Luxury Apparel Sales Leader "", 'Bilingual (English, Spanish)",1
Healthcare and Medical,30+ years of experience,2
Services,Lean Six Sigma Green Belt (ICGB),3
Services,Video series development,1
Education and Training,Strategic HR,1
Media and Entertainment,"BA, Culture and Media Studies (Eugene Lang College)",1
Media and Entertainment,1+ year of experience,1
Retail and Consumer Goods,Result-oriented Computer engineering,1
Services,Reducing gun violence against women,1
Services,United States Marine,1
Manufacturing,Heat Transfer,2
Manufacturing,Microsoft Team Foundation Server 2010,1
Manufacturing,24+ years experience in PLM,1
Education and Training,Introduction to Credit,1
Education and Training,Creative,2
Education and Training,painting,1
Education and Training,Aspiring registered dietitian (R.D),1
Education and Training,Co-founding editor of the Journal of Organization Design,1
Manufacturing,Electro chemical brush plating,1
Financial and Investment,Led complex C&I financing arrangements,1
Transportation and Logistics,ASSET to any company,1
Services,Secondary Education major,1
Transportation and Logistics,Junior,1
Media and Entertainment,"Owner, Production Company/Production Organization",1
Education and Training,Girl Scout Gold Award,1
Education and Training,Strategic Management,1
Education and Training,Emotional intelligence,2
Services,"Capital project assessments, eligibility determinations, cost projections, duplication of benefits determinations, oversight and monitoring, GIS mapping and reporting",1
Services,Intro to Manufacturing Processes,1
Services,EPIC Admin Certified for Welcome,1
Manufacturing,Advanced Thermodynamics,1
Manufacturing,Customer Service,1
Retail and Consumer Goods,Loss Prevention Certified,1
Technology,A+ course,1
Technology,Corp. compliance,1
Services,"10+ years of experience in mobile testing (Android, iOS, Windows Phone)",1
Healthcare and Medical,Electronic Engineering,1
Education and Training,"bioinformatics, genomics, GWAS, RNASeq analysis, metagenomics",1
Education and Training,Hootsuite Platform Certification,1
Education and Training,OSHA Bloodborne Pathogens,1
Retail and Consumer Goods,Improvise and learn,1
Transportation and Logistics,Certified Professional in Supply Management (CPSM),1
Healthcare and Medical,Healthcare,8
Healthcare and Medical,Certified Medication Administration Train the Trainer,1
Technology,Email campaigns,1
Media and Entertainment,10+ Years of Experience,1
Media and Entertainment,Oracle Financials R12,1
Technology,Research paper reading and implementation,1
Education and Training,Budget and Accounting Coordinator,1
Education and Training,Time Management,2
Retail and Consumer Goods,Doctorate of Physical Therapy degree,1
Services,Catalyze hydrogen ecosystems,1
Retail and Consumer Goods,Military Veteran,1
Technology,JIRA / Confluence / SharePoint,1
Technology,Insurance,1
Technology,Business Analyst,2
Technology,Paramount Workplace certification,1
Education and Training,17 years (Present - 2006),1
Education and Training,"Staff veterinarian, Penn State Horse Barns",1
Education and Training,"Captained VNIT Kabaddi Team, securing three medals in All India INTER-NIT Tournaments",1
Services,Interpersonal skills,3
Retail and Consumer Goods,"Safety, Friendliness, Show, and Efficiency",1
Transportation and Logistics,Product liability,1
Services,B2B/B2C Account Management,1
Media and Entertainment,ICFJ Multimedia Course,1
Education and Training,30+ years Project Manager experience,1
Retail and Consumer Goods,Passionate,1
Services,Senior Automation Engineer (10+ years),1
Services,"Bachelors degree in Business Information Technology, Virginia Tech (concentration in Cyber Security Analytics and Management)",1
Manufacturing,Material characterization/fabrication,1
Retail and Consumer Goods,Wyatt.Molina@gmail.com,1
Services,"Improving efficiencies (cost control, productivity boost)",1
Technology,Series 7,1
Technology,IT Desktop Support Engineer,1
Technology,PhotoPaint,1
Technology,Customer service and sales experience,1
Education and Training,"3+ years experience in Python, Java, MySQL, Javascript",1
Education and Training,Water Safety Instructor,3
Education and Training,Heartsaver First Aid/CPR/AED,1
Services,Team player,2
Services,Psychologist,1
Services,"Software Engineer, Microsoft (10 years)",1
Retail and Consumer Goods,Eager to learn and excel in Service and Retail Industries,1
Retail and Consumer Goods,Setting district sales volume and productivity goals,1
Financial and Investment,cybersecurity,1
Transportation and Logistics,Led teams in product design and manufacture,1
Healthcare and Medical,Incorta,1
Healthcare and Medical,Hydrocarbon Processing Industry,1
Media and Entertainment,Manage staff and operations,1
Services,Materials and Construction Management,1
Services,CESP program (Central European Studies),1
Services,National security and international relations specialist,1
Manufacturing,Heading the development of instrumentation,1
Manufacturing,Career Supported by a Bachelor’s Degree in Organizational Management,1
Retail and Consumer Goods,Project Management,5
Technology,Certifed Scrum Product Owner CSPO,1
Technology,MySQL,2
Education and Training,Software Engineer,1
Education and Training,Data Intensive Computing,1
Education and Training,"Python Data Representations (Coursera, Online Course Audited Jun 2023)",1
Education and Training,Adobe Creative Cloud,1
Education and Training,MS in Industrial Engineering (health informatics and data mining),1
Services,Junior Designer,1
Transportation and Logistics,"Self-driven, self-motivated, take initiative, take control ",1
Transportation and Logistics,"Well developed communication, interpersonal, professional, and time management skills",1
Technology,"AI Model Trainer, Scale AI",1
Media and Entertainment,DropBox,1
Education and Training,Strategic Media Analysis,1
Services,Amateur Baker,1
Services,Genetec Administrator,1
Services,PL/SQL,1
Manufacturing,JDE,1
Retail and Consumer Goods,Conflict Resolution,1
Education and Training,"Teaching, research, publishing",1
Education and Training,7 years of cloud computing and big data analysis,1
Education and Training,Participatory action research,1
Education and Training,Environmental and sustainability education,1
Education and Training,Sustainability activism,1
Education and Training,Data Structures,2
Education and Training,Strategic and operational leadership,1
Services,Dedicated to continuous growth and excellence,1
Retail and Consumer Goods,Microsoft Word,5
Services,"Soap UI, SAP, Visual Studio, Wireshark, JavaScript, Clear quest, J-UNIT",1
Transportation and Logistics,Software Quality Analyst,1
Transportation and Logistics,Wrote 99% of FRA 243 training plan,1
Education and Training,"Programming language theory, Compilers, Interpreters, APIs, Databases, Security, Analytics, Full-stack development",1
Services,Contracting processes,1
Services,"Schematic design, construction, project close-outs, construction administration, procurement coordination, submittal reviews, and approval phases",1
Manufacturing,"Scientific discovery, electrical engineering, mechanical engineering, automation system integration and software development",1
Technology,30+ years Clinical experience,1
Technology,20+ years experience,4
Education and Training,Internet Research - SBR,1
Education and Training,Engineering Leadership Ethics and Equity certifications,1
Education and Training,20+ years in Healthcare Revenue cycle,1
Education and Training,Hardware prototyping,1
Services,"Google Analytics, Chrome, Firefox, Safari, Opera, Internet Explorer, Edge",1
Transportation and Logistics,"Implemented equipment modifications, inspection processes, and repair processes",1
Transportation and Logistics,Nuance,1
Services,98% offer to acceptance ratio,1
Services,Microsoft Project,1
Media and Entertainment,Oracle ADI,1
Education and Training,Willing to work hard,1
Services,NCMA - CPCM certifications,1
Services,Program development,1
Services,Data Analytics Workshop,1
Retail and Consumer Goods,Customer Service & Communication,1
Technology,28+ years Fulfillment experience,1
Healthcare and Medical,California State University-San Bernardino graduate,1
Education and Training,Structural Engineering,1
Education and Training,Intern at Genzeon,1
Education and Training,Synchronous and Asynchronous Online Learning,1
Education and Training,Reinforcement learning,1
Services,Comfortable working with individuals at all levels within an organization and community,1
Services,"HTML 5, CSS 3, XML, VBScript, VBA, Java, SQL, Python, SQL Server, MySQL, Oracle",1
Healthcare and Medical,Program Management,1
Healthcare and Medical,Renewable Energy,1
Services,Assisted corporate and law firm clients with strategic plans and document review execution,1
Retail and Consumer Goods,"BA in Communication Studies, Eastern Kentucky University",1
Services,"Capital planning & prioritization strategies, project controls and governance, project assurance, forensic investigations and dispute resolution support, transaction advisory support",1
Services,Biopharma,1
Services,Health literacy,1
Services,10+ years of senior consulting experience,1
Services,Highly effective written and verbal communication,1
Services,PMP Certification,1
Technology,Recruiting,1
Technology,Face to face with clients experience,1
Services,Hospitality professional,1
Healthcare and Medical,Biomedical Technician,1
Education and Training,Production management,1
Education and Training,Building Performance & Failures,1
Education and Training,Microsoft Azure,1
Education and Training,Ubiquitous computing,1
Education and Training,Windows 7,1
Education and Training,Minor in Equine Science,1
Transportation and Logistics,Years of experience (Missing),1
Services,Aerospace,1
Technology,AWS,1
Education and Training,Multi-disciplinary complex technical and programmatic information integration,1
Services,Cloud technologies expertise,1
Services,"Avid traveller, snowboarder, ice hockey player",1
Services,270/271 Elig,1
Manufacturing,"Unsurpassed ability to build multi-disciplined cohesive teams which develop astute and effective solutions to volatile, uncertain, complex, and ambiguous challenges",1
Manufacturing,HEC RAS,1
Retail and Consumer Goods,Microsoft Windows,1
Technology,Wireframing,1
Technology,Microsoft Suite,1
Technology,"Workday HCM', ""Bachelor's degree in Economics"", 'Workday Core Compensation Certification",1
Education and Training,Business Manager,1
Services,"Senior Software Engineer, Google (5 years)",1
Transportation and Logistics,Immersive Data Analytics bootcamp certification,1
Services,Preventing Discrimination & Harassment (2022),1
Services,Product management,2
Media and Entertainment,Scenechronize,1
Media and Entertainment,Phoenix,1
Education and Training,Senior Leadership,1
Media and Entertainment,Commercial agreements,1
Media and Entertainment,Graphics for business and finance (The Wall Street Journal),1
Retail and Consumer Goods,Political science student,1
Retail and Consumer Goods,"Microsoft Office (Word, Excel, PowerPoint)",1
Services,Certified Digital Marketing Professional,2
Services,Hiking,1
Manufacturing,CUDA for C,1
Education and Training,Synapses,1
Transportation and Logistics,11 years of experience,1
Transportation and Logistics,Consulting,1
Services,Google Ads Display Certification,1
Media and Entertainment,"Oversight of celebrity & non-celebrity talent management & negotiations, including SAG/AFTRA agreements",1
Education and Training,Risk management,1
Transportation and Logistics,Parcel rate auditing,1
Government and Public Policy,Public Speaking,1
