job_id,meta_industry,clean_requirements
3749358379,Services,"[""Communicate content standards"",""Answer end user questions"",""Engage with content creators"",""Provide training"",""Participate in content strategy"",""Manage digital content (upload, taxonomy management, metadata tagging, search/indexing, mass ingestion)"",""Liaison between LOBs/brands/functions"",""Work with creative partners"",""Monitor and audit assets"",""Manage digital rights management policies""]"
3693052457,Services,"[""Bachelor's degree"",""1-3+ years in production, operations or finance"",""Excel"",""Strong time-management skills"",""Strong written communication skills"",""Strong verbal communication skills"",""Strong analytical skills"",""ERP experience (optional)"",""PLM experience (optional)""]"
3693056246,Services,"[""Bachelor's degree"",""5+ years experience"",""Communication skills"",""Analytical skills"",""Problem-solving skills"",""Training ability"",""Excel proficiency"",""Simparel knowledge"",""ERP knowledge"",""PLM knowledge""]"
3693586824,Services,"[""Retail Sales/Brand Ambassador (1-3 years)"",""Organizational skills "",""Prioritization and meeting deadlines "",""Collaboration and Initiative "",""Written and verbal communication skills""]"
3693588181,Services,"[""references"",""LinkedIn profile"",""Fair Chance Initiative for Hiring""]"
3755594822,Services,"[""High school diploma"",""Bachelor's degree in business"",""Sales or retail supervisory experience"",""Leadership and people management skills"",""Team motivation skills"",""Customer relationship building"",""Excellent communication and interpersonal skills"",""Analytical and problem-solving skills"",""Sales strategy implementation"",""Retail management software proficiency"",""Point-of-sale systems proficiency"",""Microsoft Office Suite proficiency"",""Organizational and time management skills"",""Flexible work schedule availability""]"
3755595110,Services,"[""Bachelor's Degree in HR or related field"",""8-10+ years experience in Human Resources management"",""Knowledge of U.S. employment laws"",""Strong communication skills"",""Strong organizational skills"",""Strong interpersonal skills""]"
3693588203,Healthcare and Medical,"[""Customer service (1+ year)"",""Leadership skills"",""Teamwork"",""Success in previous roles"",""Honesty, integrity, client orientation"",""Confidence, drive, growth mindset"",""Verbal and written communication skills"",""Computer skills"",""Organization and attention to detail"",""Professional appearance"",""Independent work with minimal supervision""]"
3756168109,Technology,"[""7+ years B2B sales or solutions engineering"",""4+ years Solution Sales experience "",""4+ years selling deeply technical products to technical audiences"",""Experience selling both to business and technical audiences simultaneously"",""Quota achievement"",""Salesforce, Outreach, Clari, Gong"",""Strong consultative relationships"",""Developing executive level materials""]"
3697377830,Financial and Investment,"[""Bachelor's Degree in Computer Science, Information Technology, or related field"",""3+ years of experience in software development"",""2+ years of experience in Python"",""2+ years of experience in Java"",""1+ year of experience in C++"",""1+ year of experience in Agile development methodologies"",""Scrum Master Certification"",""AWS Certification""]"
3757427736,Retail and Consumer Goods,"[""Adherence to social distancing guidelines"",""Compliance with sanitizing regulations"",""Confirmation of vaccination (as required)"",""Face mask usage""]"
3757431099,Retail and Consumer Goods,"[""Social distancing compliance"",""Sanitizing practices"",""Vaccination confirmation"",""Mask wearing""]"
3757431607,Retail and Consumer Goods,"[""Vaccination approval"",""Face mask compliance""]"
3757732812,Retail and Consumer Goods,"[""Adherence to all social distancing and sanitizing requirements"",""Confirmation of vaccination (depending on campus)"",""Use of face masks""]"
3757733784,Retail and Consumer Goods,"[""Compliance with COVID-19 regulations"",""Vaccination confirmation""]"
3757736585,Retail and Consumer Goods,"[""Compliance with social distancing and sanitizing requirements"",""Vaccination confirmation, as per campus requirements"",""Face mask usage""]"
3693048406,Services,"[""Knowledge of MD, VA and other states’ procurement and business development cycle"",""Knowledge of Government contracting vehicles and contract types"",""Knowledge of MD government technical landscape"",""Knowledge of capture management, competitive intelligence, and/or research methodologies and information sources"",""Ability to use opportunity search tools for pipeline growth "",""Ability to accomplish insightful vetting of strategic opportunities (i.e., $5M+ in size)"",""Knowledge of information technology, training, industry experience, and knowledge of state and local professional services industry"",""Ability to communicate concisely and appropriately"",""Ability for strategic planning, financial analysis, creative capture management and teaming""]"
3701324042,Services,"[""Bachelor's degree: Finance, Accounting, Economics, or related field"",""Master's degree or CTP/CFA certification (preferred)"",""5+ years treasury management experience"",""Financial markets understanding"",""Risk management experience"",""Cash management strategies"",""Banking relationships management"",""Insurance management familiarity"",""Analytical and problem-solving skills"",""Financial modeling/forecasting tools"",""Communication and interpersonal skills"",""Collaboration across departments"",""Detail orientation and organization"",""Adaptability and strategic mindset""]"
3693047938,Healthcare and Medical,"[""Associates Degree (Electronics/Biomedical Equipment Technology or equivalent experience)"",""Military training (or equivalent experience)"",""Experience servicing hospital equipment"",""Valid driver's license (for field service)"",""Ability to work independently and with supervision"",""Communication and customer service skills"",""Organization and time management skills"",""Computer applications (for tracking service histories and asset reports)"",""Troubleshooting skills"",""Willingness to be \""on-call\"""",""Strong work ethic and teamwork ability""]"
3693050756,Healthcare and Medical,"[""Associates degree in electronics/biomedical equipment technology"",""Military training or equivalent experience"",""Experience servicing clinical/patient care equipment in a hospital environment"",""Valid driver's license"",""Ability to work independently with some supervision"",""Good communication and customer service skills"",""Good organization and time management skills"",""Working knowledge of computer applications for tracking service histories and producing reports on assets"",""Good trouble-shooting skills"",""Ability and willingness to serve \""on-call\"" duty as required"",""Strong work ethic and ability to work as a member of a team""]"
3693051457,Healthcare and Medical,"[""Associates degree in Electronics/Imaging Technology, Biomedical Equipment Technology or military training"",""Prior experience with imaging equipment manufacturers"",""Experience in the repair of radiology equipment"",""Biomedical experience"",""Specialized knowledge in radiology, MRI, nuclear medicine, ultrasound, CT, cath. lab., linear accelerators, etc."",""CRES certification in different modalities"",""Good communication skills"",""Strong customer service skills"",""Ability to serve \""on-call\"" duty"",""Willingness to serve as a technical resource in areas of specialty or certification(s)""]"
3757464589,Healthcare and Medical,"[""Accredited nursing program graduation"",""State-current Nursing License"",""active BLS certification"",""Specialty area credentials (ACLS, TNCC, etc)"","""","""",""""]"
3693072626,Services,"[""Bachelor's degree in human resources or related field"",""4+ years of experience with Benefits Administration"",""HRIS"",""CEBs or SHRM-CP preferred"",""UKG Pro experience""]"
3697340609,Services,"[""3+ years accounting department experience"",""Bachelor's degree in Accounting or related field"",""Understanding of accounting systems"",""- Sage 300 (Timberline)"",""- Procore"",""Knowledge of generally accepted accounting principles of accounts payable""]"
3757483881,Miscellaneous,"[""Bachelor's or Master's degree: Human Resources, Organization Design and Development, Organizational Management"",""HR Certification"",""5+ years talent strategy, HR, or organizational development experience"",""5+ years people manager experience"",""Strong business acumen"",""Skills: identifying organizational capabilities, crafting culture, aligning programs, problem-solving, anticipating challenges, making connections, acting effectively, building relationships, persuading, guiding leaders"",""Experience leading organizational change with empathy"",""Ability: tailor communication style, influence, facilitate, adapt, pivot, articulate change, evaluate change readiness, build partner plans, lead sustained change, transition"",""Dynamics: diverse organizational contexts, long-term strategic talent initiatives, C-suite support""]"
3757484857,Miscellaneous,"[""Bachelor's degree in Marketing or related field"",""2+ years of relevant experience"",""Amazon experience"",""Product Management expertise"",""New Product Development track record"",""Analytical skills"",""Precision"",""Proactive follow-through"",""Accountability"",""Organizational prowess"",""Project management"",""Oral and written communication skills"",""Microsoft Word"",""Microsoft Excel"",""Microsoft PowerPoint"",""SAP (advantageous)""]"
3756149576,Services,"[""C#"","".NET"",""Microsoft Azure"",""SQL Server"",""AWS"",""Python"",""Docker"",""Kubernetes"",""Jira"",""Confluence"",""Jenkins"",""React"",""Node.js"",""Angular"",""HTML"",""CSS"",""JavaScript""]"
3701318699,Services,"[""Bachelor's degree in civil engineering or related field"",""Registered PE in Georgia"",""4+ years of consulting experience in Municipal Water & Wastewater projects, including Plant design or Water and Sewer Line Design Projects"",""Working knowledge of CAD tools"",""Strong communication skills"",""Strong interpersonal skills""]"
3757745817,Services,"[""Patent preparation and prosecution"",""IP and patent law"",""M.S. or Ph.D. in biology, molecular biology, biochemistry, biotechnology, chemistry, organic chemistry, molecular genetics, human genetics, chemical engineering, immunology"",""Lab experience"",""USPTO registration number"",""Writing skills"",""DC bar admission or eligibility""]"
3757747948,Services,"[""3-5 years patent/trade secret litigation"",""Technical degree (Electrical Engineering, Computer Science preferred)"",""Case experience"",""Client counseling"",""Written/verbal communication skills"",""Work ethic/leadership skills"",""Academic credentials"",""State bar admission""]"
3757748975,Services,"[""3-5 years of patent and/or trade secret litigation"",""Technical degree in Electrical Engineering or Computer Science"",""Experience working on a broad spectrum of cases and counseling clients"",""Interest in taking on increasing levels of responsibilities working with clients"",""Exceptional written and verbal communication skills"",""Excellent work ethic and leadership skills"",""Strong academic credentials"",""State bar admission in jurisdiction of practice""]"
3757749376,Services,"[""3-5 years patent preparation and prosecution experience"",""IP and patent law foundation"",""M.S. or Ph.D. in biology, molecular biology, or related scientific discipline"",""USPTO registration number"",""Excellent writing skills"",""DC bar admission or eligibility""]"
3757750422,Services,"[""Biology Background"",""Chemistry Background"",""Related Scientific Discipline"",""PhD"",""Written Communication"",""Verbal Communication"",""Scientific Terminology Communication"",""Legal Terminology Communication""]"
3757751803,Services,"[""Electrical Engineering degree"",""Computer Science degree"",""Patent litigation"",""Trade secret litigation"",""Written communication skills"",""Verbal communication skills"",""Work ethic "",""Leadership skills"",""Academic credentials.""]"
3757752661,Services,"[""Patent and/or trade secret litigation (3-5 years)"",""Electrical Engineering or Computer Science degree (strongly preferred)"",""Experience working on a broad spectrum of cases"",""Counseling clients"",""Interest in taking on increasing levels of responsibilities"",""Exceptional written and verbal communication skills"",""Excellent work ethic"",""Excellent leadership skills"",""Strong academic credentials"",""State bar admission""]"
3757753330,Services,"[""3-5 years patent and/or trade secret litigation."",""Technical degree in Electrical Engineering or Computer Science."",""Experience working on a broad spectrum of cases."",""Counseling clients."",""Interest in taking on increasing levels of responsibilities."",""Exceptional written and verbal communication skills."",""Excellent work ethic."",""Excellent leadership skills."",""Strong academic credentials."",""State bar admission in jurisdiction of practice.""]"
3757754182,Services,"[""Patent and/or trade secret litigation (3-5 years)"",""Electrical engineering degree"",""Computer science degree"",""Experience with broad spectrum of cases"",""Client counseling"",""Written communication skills"",""Verbal communication skills"",""Strong work ethic "",""Leadership skills"",""State bar admission""]"
3697391130,Government and Public Policy,"[""Decision making"",""Contract management"",""Milestone management"",""Procurement planning"",""Requirements analysis""]"
3757476978,Services,"[""High school diploma/equivalent"",""Strong organizational skills"",""Detail-oriented"",""Ability to work independently"",""Ability to work in a fast-paced team environment"",""Ability to communicate effectively in English"",""Previous experience in a similar role"",""Ability to lift 50 lbs rarely, 30 lbs frequently"",""Ability to walk, stand, bend, squat, kneel, twist/turn, reach overhead, climb ladder/stairs, and grasp tools""]"
3693046302,Services,"[""Finance or wealth management industry background"",""Data analysis"",""Development"",""Cross-functional teams"",""Project specifications"",""Requirements"",""Solutions"",""Documentation""]"
3697358929,Services,"[""Criminal history in accordance with applicable laws""]"
3697359858,Services,"[""SQL"",""Tableau"",""PowerBI"",""GIS systems"",""Capital and/or infrastructure planning (Department of Veterans Affairs or Military Health)"",""Experience with design and construction professionals (healthcare requirements)""]"
3697360734,Services,[]
3697360739,Services,"[""Los Angeles Fair Chance Ordinance"",""San Francisco Fair Chance Ordinance""]"
3697361555,Services,"[""Identity, Credentialing, Access Management (ICAM)"",""Software Development Lifecycle (SDLC)""]"
3697362474,Services,"[""Manage technical execution and evaluation of systems"",""Provide input on evaluation of proposals"",""Plan, program, coordinate, and control technical execution of engineering functions"",""Conduct presentations"",""Prepare technical reports and papers"",""Participate in conferences and discussions""]"
3697362475,Services,"[""Technical engineering program development"",""Technical milestone establishment"",""Technical execution planning and control"",""Formal and informal presentation "",""Technical report and paper preparation "",""Conference participation ""]"
3697362486,Services,[]
3697363460,Services,"[""Conduct interviews with stakeholders"",""Translate use cases into requirements"",""Collaborate with stakeholders on ingestion and analysis"",""Provide guidance on workflow and role setup in Collibra"",""Provide guidance on lineage creation"",""Develop data quality metrics"",""Help develop implementation plan"",""Refine Collibra implementation playbook"",""Support development of presentations"",""Configure metamodel in Collibra"",""Develop integration architecture"",""Collect and analyze documentation"",""Define change management and communication plans""]"
3697363473,Services,"[""Criminal history review""]"
3697364234,Services,"[""ICD-9-10 PCS coding"",""CPT coding"",""ICD-10-PCS codes""]"
3697365130,Services,"[""RPA (Robotic Process Automation) development"",""Requirements gathering"",""Process documentation"",""Solution development"",""Testing"",""Deployment""]"
3755579969,Services,"[""Federal Security Clearance (Active/Current)"",""Bachelor's Degree (Arts/Science)"",""Experience with identity management solutions (e.g., MyID, HID)"",""System lifecycle management"",""Large corporation identity management experience""]"
3755581640,Services,"[""ACTIVE and CURRENT SECRET federal security clearance or higher"",""Bachelor of Arts Degree or Bachelor of Science Degree (preferred)"",""MyID"",""HID""]"
3755581644,Services,[]
3755585227,Services,"[""Manage personnel"",""Supervise work"",""Complete onboarding assessments"",""Provide data collection training"",""Review data collection activities"",""Report compliance issues"",""Conduct educational programs"",""Consult with medical professionals"",""Research cancer data"",""Coordinate quality assurance reviews"",""Analyze quality reports"",""Establish operating procedures"",""Review medical reports"",""Work on special studies"",""Perform quality control audits"",""Generate tumor registry reports"",""Identify cancer cases"",""Assist with data abstraction"",""Generate cancer occurrence reports"",""Support scientific research"",""Assist with accreditation requirements"",""Abstract and stage cancer data"",""Enter data into registry database"",""Review clinical documentation"",""Submit electronic data"",""Interact with patients about confidential information"",""Maintain confidentiality""]"
3756133662,Services,"[""Criminal history consistent with applicable law""]"
3756134586,Services,[]
3756137111,Services,"[""Lead development of acquisition and sustainment strategies"",""Conduct planning and analysis for acquisition phases"",""Collaborate with program office staff"",""Plan and execute modification programs"",""Analyze or develop Courses of Action (COA)"",""Identify risks to program processes"",""Develop and execute mitigation strategies"",""Analyze and define impacts of changes to program baselines"",""Develop draft informational, status, and decision briefings and documents"",""Participate in various program Integrated Product Team (IPT) meetings"",""Collect and analyze stakeholder requirements"",""Develop assessment criteria"",""Coordinate related program/technical documentation""]"
3699057657,Services,"[""Structural engineering"",""Seismology"",""Hazard analysis"",""Database software"",""MATLAB"",""Python"",""Fortran"",""R"",""Programming platforms"",""Travel (15%)""]"
3699059332,Services,"[""Bachelor's degree in Economics or related field"",""5 years experience in:"",""- Database management in Excel (pivot tables, vlookup, hlookup, indexmatch, graphing, sumif, financial models)"",""- Interpreting insurance company bordereau data"",""- Interpreting underlying insurance data and analytics"",""- Creating client and reinsurer presentations in PowerPoint"",""- Creating summaries in Microsoft Word and Adobe incorporating Excel and PowerPoint graphics"",""- Preparing communications and presentations"",""- Placing casualty-related reinsurances"",""2 years experience in:"",""- Developing and placing reinsurance programs"",""- Preparing placement contracts and cover notes"",""- Drafting or amending contracts"",""- Leading client-facing presentations"",""- Prospecting new insurance carrier underwriters"",""- Assessing mortgage credit risk transfer reinsurance"",""- Stratifying mortgage loan tape data"",""- Analyzing the effects of macro-economic policy on mortgage rates and risk"",""- Interpreting statutory accounting and insurance finance basics"",""- Calculating Insurance to Value, Total Insured Value, and Probable Maximum Loss"",""- Differentiating catastrophe modeling output VaR, TVaR, OEP and AEP""]"
3701310988,Technology,"[""Bachelor's degree in Computer Science"",""Bachelor's degree in Information Technology"",""Bachelor's degree in related field""]"
3701311567,Technology,"[""Web application development"",""JavaScript"",""C#"",""C++"",""HTML"",""CSS"",""jQuery"",""Node JS"",""SQL"",""UI/UX"",""Adobe Experience Cloud"",""Figma"",""React"",""Project management"",""Teamwork""]"
3701314004,Technology,"[""Python"",""Java"",""C#"",""SQL"",""Domain interpretation"",""Multitasking"",""Quality standards management"",""Teamwork""]"
3755589824,Services,"[""Heavy equipment repair skills"",""Communication skills"",""Crane service knowledge"",""Industrial sales experience"",""Deadline management"",""Interpersonal skills"",""Mechanical aptitude"",""Organization"",""Detail orientation"",""Documentation"",""Valid driver's license"",""Self-motivation""]"
3755593370,Services,"[""Heavy equipment repair"",""Heavy equipment maintenance"",""Excellent communication skills"",""Industrial sales"",""Organizational skills"",""Detail oriented"",""Documentation skills"",""Valid driver's license"",""Self-motivated"",""Strong work ethic""]"
3755594251,Services,"[""understanding of heavy equipment repair"",""phone communication"",""crane service business knowledge"",""industrial sales experience"",""fast paced work"",""interpersonal skills"",""mechanical inclination"",""organizational skills"",""attention to detail"",""documentation skills"",""valid driver's license"",""self-motivation"",""strong work ethic""]"
3755595020,Services,"[""Heavy Equipment Repair and Maintenance"",""Phone Communication"",""Crane Service Business"",""Industrial Sales"",""Deadline Driven"",""Interpersonal Skills"",""Mechanical Inclination"",""Organization"",""Detail Orientation"",""Documentation"",""Valid Driver's License"",""Strong Work Ethic""]"
3755585788,Healthcare and Medical,"[""Biology degree"",""Chemistry degree"",""Related field degree"",""5+ yrs selling novel solutions in clinical stage development"",""strong industrial background in life science, imaging or clinical drug development "",""immuno-oncology experience "",""strong interpersonal skills"",""strong presentation skills"",""time and project management skills"",""understanding drug development process and clinical trials"",""creativity in deal making"",""problem solving skills""]"
3757732820,Retail and Consumer Goods,"[""Bend, lift, open and move product and fixtures up to 50 lbs., as needed.""]"
3757732824,Retail and Consumer Goods,"[""Bend"",""Lift"",""Open"",""Move product"",""Move fixtures"",""Up to 50 lbs.""]"
3757733644,Retail and Consumer Goods,"[""Bend fixtures up to 50 lbs"",""Lift product up to 50 lbs"",""Open product up to 50 lbs"",""Move product up to 50 lbs""]"
3757733648,Retail and Consumer Goods,"[""Lift heavy objects (50 lbs)"",""Flexible availability (including evenings and weekends)""]"
3757736482,Retail and Consumer Goods,"[""Forklift"",""Order Picker"",""Pallet Jack"",""Reach""]"
3757737163,Retail and Consumer Goods,"[""50 lbs. lifting capability"",""Microsoft Office"",""CRM""]"
3757738087,Retail and Consumer Goods,"[""Flexible availability"",""Physical: Bend, lift, open and move product and fixtures up to 50 lbs.""]"
3757738092,Retail and Consumer Goods,"[""Degree of applicability"",""Software: Bend, lift, open, and move product and fixtures up to 50 lbs.""]"
3699413936,Transportation and Logistics,"[""Light lifting"",""Light carrying"",""Moderate lifting"",""Moderate carrying"",""Straight pulling"",""Pushing"",""Repeated bending"",""Reaching over shoulders"",""Use of fingers"",""Walking"",""Standing"",""Kneeling"",""Repeated stretching"",""Color discrimination"",""Hearing""]"
3699415576,Transportation and Logistics,"[""Welding machine controls"",""Work station knowledge"",""Customer Champion"",""Character & Values"",""Work Ethic"",""Analytical / Problem solving"",""Communication"",""Ability to develop & attract talent"",""Leadership""]"
3701323709,Healthcare and Medical,"[""Bachelor's degree"",""3 years of sales experience"",""2 years of medical sales experience"",""1 year of infection prevention industry experience"",""Product launch success"",""Product utilization growth"",""Business protection from competition"",""New business prospecting"",""Cold calling"",""Hospital sales experience"",""ASC sales experience"",""Inpatient/Outpatient Endoscopy Suite sales experience"",""Valid US driver's license"",""Ability to travel"",""Willingness to relocate""]"
3693064819,Services,"[""Litigation experience: 3+ years"",""Bar admission: State of California"",""Juris doctorate: Accredited Law School""]"
3693067556,Services,"[""2-5 years experience"",""Legal knowledge"",""Juris Doctor (J.D.) degree""]"
3693068087,Services,"[""3+ years of litigation experience"",""Bar admission in California"",""Juris doctorate""]"
3757703795,Services,"[""Strong communication skills"",""Strong organization skills"",""Multitasking"",""Prioritization"",""Computer proficiency"",""Multi-line phones experience"",""English fluency"",""Arabic fluency"",""Friendly"",""Respectful""]"
3757750235,Services,"[""Bachelor's degree in Finance or Accounting"",""4 years treasury or accounting experience"",""Microsoft Excel"",""Power Business Intelligence""]"
3699086380,Manufacturing,"[""Electrical and optomechanical systems level testing, troubleshooting and repair"",""Experience with systems development and testing"",""Use of Oscilloscopes and DVM analysis tools and equipment"",""Hands on experience testing digital and/or analog components and systems"",""Ability to read and comprehend complicated drawings, mathematics, and handbook formulas"",""Use of a variety of testing and measuring instruments"",""LabView, Linux and MS Office suite software knowledge""]"
3757489201,Manufacturing,"[""Planning and execution of projects"",""Bidding"",""Planning"",""Organizing"",""Coordination"",""Monitoring"",""Administration"",""Project team management"",""Ensuring stakeholder requirements are met"",""Invoice processing"",""Cycle lifecycle support""]"
3693045269,Healthcare and Medical,"[""Communication"",""Coordination"",""Organization"",""Interviewing"",""Hiring""]"
3749352171,Healthcare and Medical,"[""Activity planning"",""Transportation of residents"",""Driver's license and driving record"",""Leadership of volunteers"",""Staff supervision""]"
3693597753,Education and Training,"[""Collaboration skills"",""Open educational resources (OER)"",""Learning management systems"",""Digital publishing tools""]"
3693065840,Education and Training,"[""Standing for long periods""]"
3699058244,Retail and Consumer Goods,"[""Sales experience"",""Results driven"",""Time management skills"",""Prioritization"",""Problem solving"",""Decision making"",""Accountability"",""Project management"",""Communication skills"",""Analytical skills"",""Mathematical skills"",""Problem-solving skills"",""Customer service"",""Collaboration"",""Respect"",""Microsoft Word"",""Microsoft Excel"",""Microsoft PowerPoint"",""iPad"",""Laptop"",""Furniture handling"",""Travel""]"
3699061078,Retail and Consumer Goods,"[""Sales experience"",""Results-oriented"",""Time management skills"",""Adaptability"",""Prioritization skills"",""Problem solving"",""Communication skills"",""Analytical skills"",""Customer service"",""Collaborative work"",""Microsoft Office: Word, Excel, PowerPoint"",""Equipment operation"",""Object handling"",""Travel"",""Lovesac policies adherence"",""Vendor support""]"
3755590360,Retail and Consumer Goods,[]
3755590361,Retail and Consumer Goods,"[""Qualifications"",""Experience"",""Skill level"",""Competencies""]"
3755590364,Retail and Consumer Goods,"[""Bachelor's degree""]"
3697377772,Retail and Consumer Goods,"[""Active guest engagement"",""Teamwork"",""Lifting (25/50 lbs)"",""Reading comprehension"",""Pick & Prep operations"",""Knife skills"",""Communication"",""Guest service"",""Sales"",""Computer literacy""]"
3697378755,Retail and Consumer Goods,"[""Lift 25 lbs. consistently, 50 lbs. occasionally"",""Read and understand information and direction"",""Effective communication"",""Guest service"",""Selling""]"
3697378756,Retail and Consumer Goods,"[""Beer and wine knowledge"",""Familiarity with ALE laws"",""Sales mindset"",""Effective communication"",""Guest service"",""Selling skills"",""Friendly personality"",""Self-motivation"",""Trustworthiness"",""Adherence to guidelines"",""Teamwork"",""Reading comprehension"",""Communication (with management and vendors)"",""Physical stamina"",""Weightlifting (30-50 lbs)"",""Age (21 years or older)""]"
3697378758,Retail and Consumer Goods,"[""Friendly outgoing personality "",""Able to actively engage guests "",""Willing to have fun with guests "",""Ability to work well with others "",""Ability to lift 25 lbs. consistently and 50 lbs. occasionally "",""Ability to read and understand information and direction "",""Knowledge of deli and chicken kitchen operations "",""Demonstrated ability and willingness to learn multiple tasks and technical requirements of the job "",""Effective communication, guest service and selling skills "",""Must be at least 18 years old "",""Ability to bend, kneel and stand for extended periods of time "",""Ability to effectively communicate with, and take direction from supervision""]"
3697379714,Retail and Consumer Goods,"[""strong people skills"",""clear, professional, concise communication"",""ability to work well with others"",""lift 25 lbs. consistently, 50 lbs. occasionally"",""read and understand information and take direction"",""walk, bend, kneel, stand for extended periods"",""communicate and take direction from supervision"",""work well with computers"",""Basic Microsoft Office skills"",""basic troubleshooting""]"
3697379715,Retail and Consumer Goods,"[""Interpersonal skills"",""Selling skills"",""Outgoing personality"",""Teamwork"",""Physical strength"",""Reading comprehension"",""Meat/seafood knowledge"",""Leadership"",""Adaptability"",""Age requirement (18+)"",""Cold environment tolerance"",""Physical stamina""]"
3697380490,Retail and Consumer Goods,"[""Lift 25 lbs. consistently"",""Lift 15 lbs. constantly"",""Read and understand information"",""Math skills"",""Stand for extended periods"",""Communication skills"",""Guest service skills"",""Retrieve and push carts"",""Bend and lift""]"
3697381435,Retail and Consumer Goods,"[""1-3 years of supermarket knowledge"",""Lifting 40 lbs. consistently and 60 lbs. occasionally"",""Pallet jack operation"",""Supervision (training and development)"",""Communication skills (guest service and selling)"",""Multiple task handling""]"
3697381436,Retail and Consumer Goods,"[""Interpersonal skills"",""Effective selling skills"",""Outgoing personality"",""Teamwork"",""Sales experience"",""Guest interaction"",""Physical strength: 50 lbs. occasional, 25 lbs. constant"",""Physical flexibility"",""Cold environment tolerance"",""Age requirement: 18+""]"
3697381437,Retail and Consumer Goods,"[""Lift 50 lbs. regularly, 25 lbs. constantly"",""Supervise, train and develop people"",""Learn multiple tasks and technical requirements"",""Bend, kneel and stand for extended periods of time"",""Friendly, outgoing personality"",""Work well with others"",""Read and understand information and direction"",""Produce operations knowledge"",""Effective communication and guest service skills""]"
3697381440,Retail and Consumer Goods,"[""Working understanding of beer and wine"",""Familiarity with ALE laws"",""Sales mindset"",""Effective communication"",""Guest service skills"",""Selling skills"",""Friendly personality"",""Outgoing personality"",""Self-motivation"",""Trustworthiness"",""Adherence to guidelines"",""Teamwork"",""Reading comprehension"",""Understanding of direction"",""Communication with Store Manager"",""Communication with DSD Receiver"",""Communication with vendors"",""Physical ability: bending, kneeling, standing"",""Physical ability: lifting 30lbs. consistently"",""Physical ability: lifting 50lbs. occasionally"",""Age: 21+""]"
3697381445,Retail and Consumer Goods,"[""Strong people skills"",""Clear and concise communication"",""Collaboration"",""Manual labor (lifting 25-50 lbs.)"",""Following directions"",""Physical mobility"",""Computer literacy"",""Basic Microsoft Office"",""Basic troubleshooting""]"
3697382213,Retail and Consumer Goods,"[""Friendly, outgoing personality"",""Ability to work well with others"",""Ability to lift heavy objects"",""Ability to read and understand information"",""Knowledge of front end operations"",""Ability to supervise and train others"",""Willingness to learn new tasks and technical requirements"",""Effective communication and guest service skills"",""Ability to stand for extended periods of time"",""Math skills"",""Computer skills""]"
